cue,response,R1,N,R1.Strength
abbau,kohle,5,53,0.094339622642
abbau,bergbau,3,53,0.056603773585
abbau,haus,2,53,0.037735849057
abbau,ende,2,53,0.037735849057
abbau,weniger,2,53,0.037735849057
abbau,getreide,2,53,0.037735849057
abbau,aufbau,2,53,0.037735849057
abbau,demontage,2,53,0.037735849057
abbau,reduktion,2,53,0.037735849057
abbau,bagger,1,53,0.018867924528
abbau,zerfall,1,53,0.018867924528
abbau,kohäsion,1,53,0.018867924528
abbau,alter,1,53,0.018867924528
abbau,mine,1,53,0.018867924528
abbau,degeneration,1,53,0.018867924528
abbau,baustelle,1,53,0.018867924528
abbau,handwerk,1,53,0.018867924528
abbau,umzug,1,53,0.018867924528
abbau,muskelabbau,1,53,0.018867924528
abbau,kognitiver abbau,1,53,0.018867924528
abbau,sparen,1,53,0.018867924528
abbau,stelle,1,53,0.018867924528
abbau,raubbau,1,53,0.018867924528
abbau,generieren,1,53,0.018867924528
abbau,umwelt,1,53,0.018867924528
abbau,plastik,1,53,0.018867924528
abbau,rohstoffe,1,53,0.018867924528
abbau,laut,1,53,0.018867924528
abbau,häuser abbau,1,53,0.018867924528
abbau,alzheimer,1,53,0.018867924528
abbau,destruktion,1,53,0.018867924528
abbau,rohstoff,1,53,0.018867924528
abbau,gold,1,53,0.018867924528
abbau,stellenabbau,1,53,0.018867924528
abbau,kaputt,1,53,0.018867924528
abbau,möbel,1,53,0.018867924528
abbau,einsparung,1,53,0.018867924528
abbau,abbruch,1,53,0.018867924528
abbau,auseinandernehmen,1,53,0.018867924528
abbau,stellen,1,53,0.018867924528
abbild,foto,12,51,0.235294117647
abbild,spiegel,5,51,0.098039215686
abbild,kopie,3,51,0.058823529412
abbild,gott,3,51,0.058823529412
abbild,ikone,2,51,0.039215686275
abbild,darstellung,2,51,0.039215686275
abbild,gleich,2,51,0.039215686275
abbild,gottes,2,51,0.039215686275
abbild,portrait,2,51,0.039215686275
abbild,dorian gray,1,51,0.019607843137
abbild,photo,1,51,0.019607843137
abbild,büste,1,51,0.019607843137
abbild,bild,1,51,0.019607843137
abbild,funktion,1,51,0.019607843137
abbild,schatten,1,51,0.019607843137
abbild,sticker,1,51,0.019607843137
abbild,ich,1,51,0.019607843137
abbild,abziehbild,1,51,0.019607843137
abbild,ähnlich,1,51,0.019607843137
abbild,kunst,1,51,0.019607843137
abbild,spiegelbild,1,51,0.019607843137
abbild,retina,1,51,0.019607843137
abbild,ähnlichkeit,1,51,0.019607843137
abbild,gemälde,1,51,0.019607843137
abbild,sachbuch,1,51,0.019607843137
abbild,selbstporträt,1,51,0.019607843137
abbild,repräsentation,1,51,0.019607843137
abbildung,bild,20,53,0.377358490566
abbildung,foto,7,53,0.132075471698
abbildung,zeichnung,3,53,0.056603773585
abbildung,buch,2,53,0.037735849057
abbildung,farbe,1,53,0.018867924528
abbildung,grafik,1,53,0.018867924528
abbildung,erklärung,1,53,0.018867924528
abbildung,fotografie,1,53,0.018867924528
abbildung,fakultät,1,53,0.018867924528
abbildung,tabelle,1,53,0.018867924528
abbildung,ausbildung,1,53,0.018867924528
abbildung,verdeutlichen,1,53,0.018867924528
abbildung,studie,1,53,0.018867924528
abbildung,nummer,1,53,0.018867924528
abbildung,graph,1,53,0.018867924528
abbildung,sichtbar,1,53,0.018867924528
abbildung,mathematik,1,53,0.018867924528
abbildung,sehen,1,53,0.018867924528
abbildung,projektion,1,53,0.018867924528
abbildung,manuskripterstellung,1,53,0.018867924528
abbildung,bildnis,1,53,0.018867924528
abbildung,funktion,1,53,0.018867924528
abbildung,zeichnen,1,53,0.018867924528
abbildung,verständlich,1,53,0.018867924528
abbildung,psychologie,1,53,0.018867924528
abend,nacht,6,55,0.109090909091
abend,morgen,6,55,0.109090909091
abend,sonnenuntergang,5,55,0.090909090909
abend,feierabend,5,55,0.090909090909
abend,dunkel,5,55,0.090909090909
abend,essen,4,55,0.072727272727
abend,tag,4,55,0.072727272727
abend,ruhe,3,55,0.054545454545
abend,bett,2,55,0.036363636364
abend,mond,2,55,0.036363636364
abend,abendessen,1,55,0.018181818182
abend,gemütlich,1,55,0.018181818182
abend,wein,1,55,0.018181818182
abend,schlafen,1,55,0.018181818182
abend,müde,1,55,0.018181818182
abend,tagesende,1,55,0.018181818182
abend,relax,1,55,0.018181818182
abend,tageszeit,1,55,0.018181818182
abend,sonne untergang,1,55,0.018181818182
abend,abendrot,1,55,0.018181818182
abend,ausklang,1,55,0.018181818182
abend,stille,1,55,0.018181818182
abend,spät,1,55,0.018181818182
abendessen,familie,6,54,0.111111111111
abendessen,hunger,3,54,0.055555555556
abendessen,abendbrot,3,54,0.055555555556
abendessen,mahlzeit,3,54,0.055555555556
abendessen,restaurant,3,54,0.055555555556
abendessen,brot,3,54,0.055555555556
abendessen,mahl,2,54,0.037037037037
abendessen,dinner,2,54,0.037037037037
abendessen,feierabend,2,54,0.037037037037
abendessen,znacht,2,54,0.037037037037
abendessen,gemütlich,2,54,0.037037037037
abendessen,lecker,2,54,0.037037037037
abendessen,suppe,2,54,0.037037037037
abendessen,butterbrot,1,54,0.018518518519
abendessen,warm,1,54,0.018518518519
abendessen,nahrung,1,54,0.018518518519
abendessen,brotzeit,1,54,0.018518518519
abendessen,essen,1,54,0.018518518519
abendessen,gäste,1,54,0.018518518519
abendessen,teller,1,54,0.018518518519
abendessen,deftig,1,54,0.018518518519
abendessen,18.00,1,54,0.018518518519
abendessen,holzbrett,1,54,0.018518518519
abendessen,butterchen,1,54,0.018518518519
