cue	response	R1	N	R1.Strength
?	pregunta	26	66	0.393939393939394
?	que	8	66	0.121212121212121
?	duda	6	66	0.0909090909090909
?	incógnita	4	66	0.0606060606060606
?	interrogación	3	66	0.0454545454545455
?	no sé	2	66	0.0303030303030303
?	signo	2	66	0.0303030303030303
?	cuestionar	1	66	0.0151515151515152
?	descansado	1	66	0.0151515151515152
?	donde	1	66	0.0151515151515152
?	incertidumbre	1	66	0.0151515151515152
?	incógnito	1	66	0.0151515151515152
?	libre	1	66	0.0151515151515152
?	mmm	1	66	0.0151515151515152
?	nada	1	66	0.0151515151515152
?	pregúnta	1	66	0.0151515151515152
?	pregunts	1	66	0.0151515151515152
?	preguta	1	66	0.0151515151515152
?	quien es	1	66	0.0151515151515152
?	tontería	1	66	0.0151515151515152
?	wtf	1	66	0.0151515151515152
?	y ahora	1	66	0.0151515151515152
0	nada	24	66	0.363636363636364
0	número	13	66	0.196969696969697
0	cero	10	66	0.151515151515152
0	1	3	66	0.0454545454545455
0	letra	3	66	0.0454545454545455
0	vacío	3	66	0.0454545454545455
0	a la izquierda	1	66	0.0151515151515152
0	cerl	1	66	0.0151515151515152
0	comiezo	1	66	0.0151515151515152
0	desierto	1	66	0.0151515151515152
0	dígito	1	66	0.0151515151515152
0	faltante	1	66	0.0151515151515152
0	neutro	1	66	0.0151515151515152
0	nota	1	66	0.0151515151515152
0	nulo	1	66	0.0151515151515152
0	schrödinger	1	66	0.0151515151515152
1	número	26	68	0.382352941176471
1	2	11	68	0.161764705882353
1	uno	9	68	0.132352941176471
1	primero	8	68	0.117647058823529
1	dos	3	68	0.0441176470588235
1	as	1	68	0.0147058823529412
1	fórmula	1	68	0.0147058823529412
1	inicio	1	68	0.0147058823529412
1	origen	1	68	0.0147058823529412
1	persona	1	68	0.0147058823529412
1	símbolo	1	68	0.0147058823529412
1	solo	1	68	0.0147058823529412
1	tango	1	68	0.0147058823529412
1	unidad	1	68	0.0147058823529412
1	uno solo	1	68	0.0147058823529412
1	yo	1	68	0.0147058823529412
10	número	15	67	0.223880597014925
10	diez	8	67	0.119402985074627
10	decena	6	67	0.0895522388059701
10	11	3	67	0.0447761194029851
10	Messi	3	67	0.0447761194029851
10	calificación	2	67	0.0298507462686567
10	Diego	2	67	0.0298507462686567
10	fútbol	2	67	0.0298507462686567
10	Maradona	2	67	0.0298507462686567
10	máximo	2	67	0.0298507462686567
10	nota	2	67	0.0298507462686567
10	01	1	67	0.0149253731343284
10	20	1	67	0.0149253731343284
10	9	1	67	0.0149253731343284
10	calificar	1	67	0.0149253731343284
10	Decada	1	67	0.0149253731343284
10	dedos	1	67	0.0149253731343284
10	examen	1	67	0.0149253731343284
10	excelente	1	67	0.0149253731343284
10	hora	1	67	0.0149253731343284
10	lo mejor	1	67	0.0149253731343284
10	mejor	1	67	0.0149253731343284
10	mies	1	67	0.0149253731343284
10	Nota	1	67	0.0149253731343284
10	nueve	1	67	0.0149253731343284
10	números	1	67	0.0149253731343284
10	once	1	67	0.0149253731343284
10	par	1	67	0.0149253731343284
10	parrilla	1	67	0.0149253731343284
10	perfecto	1	67	0.0149253731343284
10	record	1	67	0.0149253731343284
100	número	23	68	0.338235294117647
100	centena	8	68	0.117647058823529
100	pesos	4	68	0.0588235294117647
100	cien	3	68	0.0441176470588235
100	plata	3	68	0.0441176470588235
100	200	2	68	0.0294117647058824
100	completo	2	68	0.0294117647058824
100	mil	2	68	0.0294117647058824
100	porcentaje	2	68	0.0294117647058824
100	10	1	68	0.0147058823529412
100	120	1	68	0.0147058823529412
100	años	1	68	0.0147058823529412
100	billete	1	68	0.0147058823529412
100	caramelos	1	68	0.0147058823529412
100	centesimo	1	68	0.0147058823529412
100	ciento	1	68	0.0147058823529412
